Stress1,Stress1Ex,Stress2,Stress2Ex,Stress3,Stress3Ex,Strategy1,Strategy2,Strategy3
Health,Any health issues that may affect me or my family,Money,Any lack of money when bills are due,Work,Tight Deadlines,Prayer,Work on MTURK to make extra cash,"I delegate to others and try to get to work on it ASAP and not think about it so much.  Try to focus on the solution, not the problem."
work,I work from home but still take care of my 3 year old.,husband,he's an alcoholic,goals,I have goals that keep getting put on hold.,I sometimes take a 5 min time out,I stay quiet or it angers him,reading books relaxes me
Work,Stress about completing projects accurately and worry about getting fired.,Money,Stress about not being able to pay down debt and save.,Time,Stress about not having enough time to pursue my goals.,I spend time working on ways to make supplemental income and learn new skills,"Exercise, watch youtube videos or painting",Try to be efficient at night when kids go to sleep. 
Tention,My job tention,Body pain,Heavy work Tention,House problem,Family situation,Relax,free mind,no tention
Finances,Need more money,Relationships,Fallen apart,Health,Deteriorating,Overtime,Reaching out,Treat symptoms
Love Breakup,Breakup reason is she was feared for her mother. Finally we got breakup. I was really upset and disappointed.,Fight with close friend,We got fight for money ,Loss the money wallet,Someone theft my wallet while i sleep,I take over the stress with being silent and doing my work.,Think about yourself. Not anyone.,Decided don't use the wallet front of anyone.
family problems,each persons to various mind set so i am in stressed ,work,vase times i think to in our work consentrated,out of home,various people crossed in my life,healthy food ,yoga ,mind relaxsation place
Work presure,"Due to higher official commands,I got most stress",System operating,"If I working on system  continuously ,I got stress",Travel,"Travel medium (Bus or Train)is not convenient ,I felt stress",Hearing music reduce the stress,Playing cricket reduce the stress,Seeing movie reduce the stress
Driving,I hate driving for a multitude of reasons but mostly because I hate having to drive around the other people on the road.,Punctuality,Everyone expects you to be on time for everything and there really isn't enough time in the day for everything so I skip lots of things I shouldn't to make sure I am punctual.,Eating,I used to get sick very often because of nerves or stress.,Move closer to work and be able to ride a bike or walk to work.,Learn to be more organized and not waste time.,I eat healthy and try to exercise often.
school,"applications, studying, exams",family,"health, finances, communication",work,"applications, interviews",meditation,exercise,journaling
work stress,Large of work,Health stress,Health stress in my body,Stressful events sequences,Stressful events in many other places,A few minutes of practice per day can help ease anxiety.,Take a 5-minute break and focus on your breathing. ,Your social network is one of your best tools for handling stress. 
finance,i have 3 people dependent on me and i have no income at the moment,relationship,difficulty to communicate different points of view with my partner causes stress regarding whether i made the right choice,worrying to much,"the fact that i worry and overanalyze too much makes me stressed regarding my ability to judge things correctly, hence making the right decisions in relation to the points mentioned above","meditation, reading, walking",making an efffort to control my thoughts and worries,accepting things as they come and developing confidence in being able to solve them 
The future.,Making plans for my future.,Computers.,Trying to figure out problems which occur.,My son.,Coping with our differences.,Write things down.,Keep trying.,Talk to him about the differences.
Mental Illness,I suffer from various mental illnesses and dealing with them daily causes a lot of stress.,Finances,Not earning enough money to live the life I want.,Work,Dealing with situations that are stressful,Talk out my issues with my partnet,Try to re-evaluate my budget to see if I can cut more expenses,Find better ways to deal with situations
Traffic,When I am stuck in traffic I am stressed because of having to wait and other drivers being aggressive on the road.,Childrearing,Caring for my two young children is stressful in a more so a good busy kind of stress but at times it can be emotionally exhausting being on constant demand.,Finances,"My husband changed career and due to him being the breadwinner, our budget is less and requires us to be on a tight budget.",I pray when I am emotionally stress.,I do breathing exercises.,I go for a walk.
Work,Unhappy about the job,Chores,Not enough in the day to finish all of my chores.,Health,I have a medical condition that sends me to the ER at least once a year.,Look for another job.,Prioritize the chores I have to do.,Pay careful attention to my body.
my daughter,when my daughter is fussy and does not calm down ,work ,when im too busy at work to eat,full gym ,can't workout because all the machines or dumbbells are taken ,breathe and try to take a time out ,make myself take a break ,go to a different gym 
Noise,I have misophonia and am fighting a constant battle to contain it.,Work deadlines,I don't have a very well functioning sense of time and sometimes that makes it difficult to properly plan ahead and manage time.,Can't think of a third one,Aside from 1 and 2 I'm just  really not a very stressed person,"I've developed several coping mechanisms in the past three decades - earplugs, music/masking any trigger noises, rearranging my schedule and despite constant effort it works pretty well 99% of the time.","I've eliminated most deadlines out of my work life, by determining which ones are actual 'hard' deadlines and which ones are arbitrary and also simply have learned to take on less work.","There probably used to be more, but I've worked on my stressors and probably somewhat successfully."
Trying to do too much,Always feel rushed,Too many worries,Have parents who are ill,Financial burdens,Unexpected bills,Try to do our best and be satisfied,It's our responsibility and part of life,Keep to budget
Neighborhood problems,"There are drug dealers in the neighborhood and they commit a lot of crimes, including vandalism and theft.",Projects at work,There are always more things I'd like to do than I can possibly do. ,Retirement concerns,I don't know whether or not I'll be able to retire when I'd like to retire.,"I talk to my neighbors, the police, and other city officials - and fight back!",I do the best I can on each of the projects I can do and reward myself for a job well done on each one.,I'm making new investments and squirreling money away as much as possible.  
EXPECTATION,WHEN I EXPECT SOMETHING TO GET FEEL STRESS,THINKING,WHEN I THINKING ABOUT MY FUTURE,JOB,TO COMPLETE MY TASK IN WORK GET STRESS,LISTEN TO MUSIC,TALK TO MY SPOUSE,USE SOCIAL MEDIA
Work,Dealing with clients and the pressure of work. ,Family,Balancing time with family and keeping them happy. ,Future,Thinking about what I want to do next. ,Avoid the stressful thing. ,Make a list to accomplish everything. ,Reflect on what has made me happy and what hasn't and then adjust. 
work,sometimes we take many work at the same time.,family problems,family member health and financial problems,health problems,personal health problems.,take a rest,visit the likable place,take a healthy food.
Deadlines,"If there's a deadline I need to meet, I tend to feel stressed.",People ,"For example, if I've unintentionally hurt someone's feelings, I stress.",Crowds,Crowded places can trigger panic attacks for me.,Try to think of the reward once the task is completed.,I try to get back with the person as soon as possible so as to clear up any misunderstanding.,I avoid crowded places and situations.
Heavy work,Lots of work cause stress,Over tension,Tensioning lot cause stress,Injury,Illness of health,Get more sleep,Talk to someone,Take control
Work pressure,Heavy work without lunch,Family fight,Argument with wife or other members,Excess travel,Travelling for a long time in two wheeler,Hair steeching,Acupresure and swiming,Sex and masturbation
work,working full time job and part time on Turk gets very stressful,home,wife is always moody and gets upset about everything and blames me for it. that is more stressful than anything,bills,everything we make goes to the bills. apartment renewals increase every time you renew the lease. as if 1700 is not enough for rent. now it will be 1850,hangout with friends,smoke hookah and drink wine ,go on small vacations on weekends
Thinking about all the things that I have to do. ,It is stressfull to get things all done on time.,work,My work is stressfull I have many things to do.,Peoples expaction of me,Its stressfull to satisfy everyones expectation of me.,I meditate in the sauna.,I go to the gym to workout.,I spend time alone.
traffic,I don't like dealing with lousy traffic.,cloudy days,I prefer sunshine.,cold weather,I don't like winter as much as I like summer.,Take deep breaths.,Pray for sunshine.,Wear warmer clothing.
work,continuous work load,computer,watching monitor continuousely,family,financial matters,yoga,watching television,listening to music
When I do taxes I experience stress.,Fear of what I will owe the IRS.,When I apply for a new job.,Stress that I will mess up the interview and not get the job.,Christmas is a huge stress.,Stressed that I will not have enough money to buy presents.,I deep breath when I feel stress.,I think of things that bring me joy and gratitude.,I do relaxation imagery. 
Waiting- ,Waiting for trivial things., Lack of sleep- ,Some disturbance during sleeping time.,Misunderstandings by people -,When others misinterpret what I say,"Deep breathing - Like in yoga, controlled breathing",Humor - Listen or look through jokes.,Mobile games - Play some simple game on phone.
Work,going through harassment case against employer,financial,"mortgage, bills, etc piling up",family,young son and needy spouse,Alone time,Video Games,Physical activity
working,take work burden of my friends,finance,unsufficient finance for my family,health,body health is not supported to me,limit my friendship,permit my wife to join a job,take healthy food
money ,struggling for money,health,some health issues like body pain,family issues,like husband problems,income is the only way,recover health issue,husband problems
My step son can cause alot of stress.,He does not listen and has behavior issues.,My dog ,He has started to not listen and obey when I call him.,My football team.,They are losing a lot of games lately making it very stressful betting on them.,I try to take deep breaths.,I try walking away from the situation before it escalates.,I try tempting my dog with treats to get him to come.
Financial,I am making less money.,Pet,My pet is aging and it worries me.,Family,My family member is knowingly causes harm.,Reading books helps to alleviate some stress.,I like to take a walk when stress feels high.,A glass of wine takes the edge off.
my relationship with my daughter,We have very different personalities and we clash sometimes.,issues with my neighbor,Their kids are constantly throwing things over the fence and once hit my window.,Neighbor/friend is very ill,My friend's cancer has returned and I don't think she is going to make this time.,read a book,take a nap,go walk at the track
My college classes,THe work load is heavy since I am in honors and need specific grades,My work with customers,Customers routinely are rude and yell inappropriate things at me while im just trying to do my job,My hobby of video games,When i get frustrated i lose and it gets worse and worse cause of all the pressure to keep my rank high,I spread out my work load,I take deep breaths,I smoke weed
Work,"I work many, many hours. ",School,My senior thesis is a killer,my kids,They are so busy with everything,"long, hot bath",Deep breathing,Breaks 
Loss of a job,Loss  job,Getting married.,future arried life thinging,Moving to a new home.,home is rented,Indulge in Physical Activity. ,Take Control. .,Talk to Someone.
Job,your job could be asking alot from you.,Wife,Your wife could be stressing you with things dealing at home.,Bills,You might be in debt and can't get out.,Try to exercise to get your mind off things.,Doing drugs could get your mind off things.,Talk to someone to let it all out.
But financial stress is perhaps the single most common source of both emotional ,and physical stress. People who turn to you as a financial ...,"Reports of mass shootings, climate change and sexual harassment are stressing Gen Z voters the ",Stress levels are on the rise across the U.S. According to an American Psychiatric ,"Association-sponsored survey, nearly 40 percent of people ...",She said that “all of the ups and downs and stress and excitement really ... ALSO READ: Kendall ,"If there's a Venn diagram, then “emotional eating” is the biggest circle and then ","According to a recent survey, 59% of workers, in London specifically, said that ",working in the capital is stressful and causes anxiety.
Work,When we have a crazy show or last minute changes it stresses me out (sometimes in a good way).,Politics,"With the current hostile political climate, I hate watching the news or talking politics",Family,Some times I get very little sleep due to the kids and they're young so their activeness can get on my nerves,"Communicate with the team as much as possible, but sometimes it's avoidable",Turn off the Tv and facebook!,Spend more time doing outdoor activities.
Money,Money is always a cause for some stress when you have a good bit of bills and three kids. ,Drama,There is drama in every family but ours is extra special. It always seems to go hand in hand with stress. ,Kids,Kids and the way you raise them is always stressful. There is a lot of pressure to get in right and a million ways to not go about it. ,Visualizing a stop sign in your mind seems to always get your mind from dwelling on the stress. ,"Prayer is a way, personally, to get a grip on over stressing about something. ",Deep Breathing techniques are a common tactic in our home for adults and kids. 
work,too many responsibities,rent,too high for my pay,car,lease is too high,plan my finances,go on walks to clear my head,yoga
"Reports of mass shootings, ", but not enough to g, change and sexual ,climateharassment are stressing Gen Z--, voters the most et them to the .,People who turn to you as a financial ..,Stress levels are on the rise across the U.S. ,According to an American Psychiatric,Association-sponsored survey
School work,I have many assignments to do and want to make sure they are done well. ,relationship,My significant other and I argue over many aspects of our lives. ,work ,I am often busy while working and feel like my coworkers dont pull their weight. ,take naps when felling stressed,take care of my skin with face masks and lotions,baking and eating nice treats 
work,work is difficult and tiring.,school,i need to graduate so I can make more money,weight gain,working out is hard.,I drink beer.,I watch TV,I take my dog for a walk.
Finances,Accommodating unplanned expenses,Relationship,Managing a relationship with a difficult partner,Health,Dealing with health issues,Try to calm down and think through the issues,Take time for myself and my needs,Take time to exercise
Time is not good enough ,I have a lot of online classes that I need to take and I don't have much time for them. I feel like I need more than 24 hours for my day. ,Not enough time for attending the Gym ,"Work, Home activities like parenting kids, online schools and church is not leaving free time for the Gym ",Meeting with my CEO,I have an important meeting next week with the CEO of the company where I work and I don't know how it's going to be. I am ready for him but it kind of stress me ,Sleep the basic time only and make sure that doesn't harm me,Trying to workout one hour at the gym,Keep checking the key words of the certifications that I have been taking so far and I am ready to suggest some projects 
Husband is deployed ,Husband is in military and away for a year,Children ,"Because dad isn’t here, I am being mom and dad",Shoulder pain ,I was diagnosed with arthritis and am living in pain constantly ,Lots of calls and FaceTime ,Keep kids busy,Take Motrin for pain
Money,"In my company there is a salary issue. Since salary is not there, me meeting my commitments getting a problem",Work,what ever i do my boss is not happy,lazy,i postpone things. This create a problem in my work and i get stressed,Arranging temporary loan from outside,i got used to my boss unhappiness. so noways i take it easy.,Trying to complete my work then and there
Work,Making sure I’m being as productive as possible,Finances,Sticking to a monthly budget and saving money ,Relationships,Getting along with my partner ,Organize tasks,Keep aware of spending ,Good communication
Money,"Debt, bills, low income",Relationship,"Fights, clingy",Sleep,"Too much, not enough",Work and try to not sweat it,Communication,Medication
work,pressure,family,income,game,energy low,exercise,meditation,walking
Office,doing heavy work,children,pampering the children,travelling,continues travelling,yoga,sleeping,walking outside
Family,Being pulled in multiple directions from my kids and spouse.,Medical Issues,Having multiple medical issues but it taking several months just to get a doctors appointment.,Exhaustion,"Frequent insomnia, physical body strain from work, causing physical and mental exhaustion and stress.",Have my kids and spouse write down the different activities dates and times that they need me to support them in.,No strategy other than to just wait until an appointment opens up.,"Try to sleep when I am able to, even if it means taking naps."
Money,Money is always on my mind and making me anxious.,Work,"My boss doesn't supply us with basic things, so it stresses me out.",Car,My car isn't very good.,I take anxiety medication nightly to help my stress.,I practice deep breathing to calm myself.,I try to distract myself with a game or something to watch.
school,might fail,health,not healthy,finances,poor,workout,bake,talk to friends
House chores,When the house chores are never ending,Childcare,Having 2 kids 2 and 4 years old,Time management,I feel like i cannot manage my time anymore ,Let the chores left undone once in a while,Enjoy the kids,Plan ahead of time
Work,Deadlines and dealing with egos and office politics,Car,It’s almost 20 years old and that makes me nervous,Dog,She’s been throwing up a lot lately even though the vet says she is fine,Keep on being awesome,I’ve been saving up for a new car,Keep monitoring her and making notes
Money,I worry that I owe more in bills each month than I actually make at work. ,Baby,I worry about whether or not i'm doing everything right in taking care of him,School,I don't always do my assignments on time and then I get overwhelmed by so much work,Don't spend so much and volunteer for extra hours at work,Join a mom group to get reassurance,Follow a schedule to do my assignments on time
My kids,They are often loud and hard to control,My car,It often breaks down or has problems,My financial situation,I am currently unemployed and it is hard to find a job,"Calm them down, walk away, drink tea",Breathing excercises and hoping the best for the future,Find more ways to make money
Multi-tasking,Having to perform too many tasks at once,Dr. Appointments,I get anxiety whenever I have to go to the drs office,Giving blood,I have had several problems giving blood and it is painful,"Often times, I find that if I try to prepare myself in advance,It helps me to deal with the stress better. It helps me to keep my blood pressure in check as well.","Honestly, there isnt very much that I can do to help. I have had several bad experiences,and I have to cope as best as I can.","For one thing,I have to look away whenever I am giving blood. I also try to regulate my breathing so I dont pass out."
Financial issues,not having enough money can be stressful ,relationships with family and friends,keeping up with loved ones can be time consuming,weight loss,losing weight can be difficult,living frugally,meditate,caloric deficit
Marriage,"Trying to make marriage work, in the short-term and long-term.",Housekeeping,"Keeping the house clean, cooking every day, doing chores.",Family,Appeasing family obligations,Focus on the good things. Let the bad things slide.,"Don't let anybody see the house, then it doesn't matter if it's a disaster.",Go with the flow. Get it done and get back to what I want to be doing.
Kids illness,My child has always got something wrong/going on,Work,I have a full work load and am expected to help with other stuff,double jobs,How to manage double jobs and home life,I try to do as much research and try to treat as quickly as possible,I try to make sure I pace my job so I am not behind.,I try to make sure I have down time daily
Job stress,Unwanted last time target Pressure and new product launch,Last minute meetig,Meeting will conduct before leaving office,Incremental rating,Less rating in appraisal comparing to acheivements,Relaxation ,Alchol,Less attention towards targets
Relationship,trying to find peace with one another,Job,Inconsistant,Difficulty with pregnancy,Heath issues preventing,Drawing while listening to music,Writing with my father,Hot baths
money,never having enough,child support,when i barely make enough to get by and they want more and more.,love,just tired of looking.,Just try to work more.,"pay what they want, what else can i do?",I stopped worrying about it.
work,I try not to think about the people who stress me out at work,My mother's illness,My mother is very sick and I am in charge of mine and my mother's household,money,how can I make more money other than my job,listen to the secret everyday,attempt to think about something else and look at funny videos,putting myself in the feeling that I have more than enough money
the president,His existence in the office is putting the world in peril,bathrooms,being able to go to the bathroom without fear or being attacked,my dog,my dog died a few months ago and i miss her terribly.,dont watch the news and be on soclial media,i use bathroom i have used before and i know are safe.,i am seeing a greif councilor.
Family,I am the primary caregiver for my mother with mental health issues.,Money,I am always worried that I will not have money for something when meeded and being strangled by debt.,Work,I work multiple jobs to make ends meet.,"I breathe deep, pray, and try to set clear bounaries.","I breathe deep, pray, find more work to bring in money.","I breathe deep, take brakes for health reasons, and pray."
money,I want to buy more thing but do not have enough money,health,I worry about my health,peer pressure,I am afraid of my boss not like me,try to get promotion,eat health and sleep enough,do not make mistakes
Wake up late,Failed to do things,Forgotten,Necessary things,Late coming to office,Firing from bose,Alarm on,Create a reminder list,Come early
Money,We are in a difficult financial situation .,Time,I often feel like I don't have enough time to get everything done  ,Family,Both of our families are difficult and judgmental .,Trying to stick to a budget to make cash flow more predictable,I try to stick to a schedule in order too get tasks done in a timely manner,We don't tell our families everything in order to keep the peace
finances,making sure i have enough to provide for my family,job,they overwork me and underpay me,not enough sleep,im always doing so much I never have enough time to rest,try to find new ways to make more money on the side,continue to do my job with a smile on my face even though i cringe on the inside,"take short 10 min power naps when i can(when you have a kid, 10 mins is great)"
sickness as it makes me weak,lack of money for upkeep it makes me weak,lack of money for upkeep,as i fail to maintain my upkeep,loss of job,as it is my main source of income,taking medicine,encouraging myself to save more,being committed and loving my job
other people,People say and do things which cause me stress.,the dog upstairs,The dog in the apartment upstairs barks a lot.,Big Bang,I wonder how/why the Big Bang happened.,doing exercise,reading books,breaking things
Finances,"When I have financial difficulty, trouble paying my bills, etc..",Caring for my friend,I provide care for a friend who is bed-bound,Not meeting work goals,Not meeting my work quota,Praying to God-I have deep faith in Him and I talk to Him about all of my problems-and He always helps me.,"Talking to friends-we share our problems with each other, and share suggestions.","Keeping busy, going out and having fun-not dwelling on stress and problems"
Work,"I'm a nurse so working 12 hour shifts, dealing with patients, family members, physicians, etc. is stressful. I also have to pay attention to any patient change in condition, monitor their vital signs, lab values, etc. and it's stressful and exhausting to remember to do everything every day. ",School,I work full time and am in school for my MSN. Working and going to school is stressful because I'm financially unstable because I don't want to take out student loans but that means I have to work more. If I work more it means I miss class and/or have less time to do homework or assignments.,Relationships,I have a hard time trying to keep relationships with work and school. I don't get to go out and spend time with friends or family because I am too busy to do so.,I stretch when I feel stressed out.,I try deep breathing exercises to reduce my stress.,I take naps when I become overwhelmed.
Being unorganized or hapazard.,"The very thought adds stress, have to work out from start, redo",untimely acts.,Being late or having to wait long duration causes stress.,Needs not met,If for some reason you are unable to shop for what you want.,"Priorotize in being organized, or take some help ","Be regular, take enough precautions to deal with such situations",Dubble up and keep extra on hand to meet such situation.
money,not making enough to be comfortable,family,politics isn making talking to family unbearable,time,not enough time to do things,distract myself by looking on social media,playing video games,watching tv shows
Family Health,I live with both of my grandparents and are both in poor health one who requires to be taken to a dialysis facility 3 days a week,Finacial Stablity ,Because i am the one who needs to take care of my grandparents i lack a job which means no income on my part,Relationships,"I am currently in a relationship, but my partner is about to pursue a job opportunity in another country. ","Breathing exercises help me alot, such as deep breathing.",Talking through my problems with others.,Try to do things i enjoy that would get my mind off of my stress like video games or books
Death of a loved one,"At first, you may wonder how you will survive after a loved one's death. These tips might help you get through the pain and loss",Job loss,Here are guidelines for skillfully handling the emotional challenge of dealing with job loss and searching for new employment: 1. Write about how you feel,Increase in financial obligations,espite an improving economy that should be easing the financial ... UBS defines 'stressed' Americans as those whose financial obligations,Take Control,Try Relaxation Techniques.,Keep a Stress Diary
Money,We are low on funds at the moment. ,Health,My partners health is not good.,Depression,I am struggling with depression. ,Mindful Meditation,Medication,Works towards goals to improve stressors. 
unemployment,have not worked in several months,not being independent,i have to rely on other since im not working,grandchildrens future,"people are so into themselves, lack of respect, mans violence",i try to keep positive,i work towards goals on a daily basis,i teach my grandkids some of my life growing up
Money," Money is always the biggest stress, never enough. ",Time,"Lack of time is stressful, my schedule is always full. ",Husband,My husband is always stressed which causes me stress. ,Try to cut back,Try to have down time to relax,Have intentional one on one time. 
Job,Overnight job,Salary,Minimum salary,Family,Cant  spend time with family,search better job,expect better salary,spend time with family
Baby,She can stay up at night or be fussy,Everyday things,chores and the like,Relationship,Arguing or compromising. ,Meditate,Yoga,Listen to music
work life,busy at work and getting stressed from upper managemnet,driving ,driving in early morning from home to work in crazy traffic. ,kids,kids responsibility make me streesed sometimes.,more efficient way at work,to leave more early,dividing work between other members in family
weight,overweight,work,rotating shift work,child,child is growing up. needs more. ,workout,drink,rotate with wife
Finances,I owe a lot of money in student loans and don't make enough to cover them.,Pregnancy,"My pregnancies have been high risk, so I am under a lot of stress since I am currently pregnant.",Spouse,My spouse suffers from depression and therefore leaves much of the childcare and house work to me.,I try to watch my favorite shows as a way to relax.,I go for walks.,I do some deep breathing exercises.
Children,Depend on me as their care taker.,Husband,Don’t want to let him down.,Work,Guilt for not being available all the time.,Be the best mom that I can be.  Breathe,Talk to my partner. Breathe,Remember that work is just work. Breathe
Work,"Deadlines, coworkers, and poor management practices are stressful.",Sleep,Poor sleeping habits cause extra stress.,Relationships,It is stressful trying to find a loyal girlfriend.,Exercise,Alcohol,Videogames
Work,I have a stressful job involving many different personalities,Home,My home life is stressful because we are in a new location,Time,I never feel like I have enough time,I work hard and pray hard about my job,I spend a lot of time communicating with my family,I try to manage my time as well as possible
Disputewith boss,"This person should always be right, even if he iswrong... it makes the brain off..",Wrecking at home my dogs,Sometimes they make a huge mess and something break down..,traffic on the road,don`t explain when you`re late...,I always meditate at home & try to think about good things,"I always meditate at home & sit and tell myself : one, two...",I always meditate at home & try to just calm down
money,Having enough to get through each month,driving through rush hour traffic,Having to deal with other screwy drivers,relationships at work,I have navigate daily through people's egos,I exercise at gym,I try to eat right,I try to pray and meditate a lot
Money,I never have enough and I am trying to avoid bankruptsy.,Weight,I weigh too much and desperately would like to lose weight.,Romance,"I don't engage in romance, and feel guilty",Working Online,Working out,I do not deal with this.
money,I wish that I had more.,career,I don't feel like my work matters.,family,We used to be closer.,I look for higher-paying jobs.,I take on a lot of hobbies that give me a sense of purpose.,I haven't found a strategy for this stress.
work,sometimes I just feel I do not get a break,Being Sick,"I hate it so much, I try to be healthy",Relationships,sometimes it would just be easier to do everything myself,try to get rest,workout,read a book
My son's health,My son has Lennox-Gastaut Syndrome and it is a challenge to keep his seizures under control. ,My relationship with my husband,My husband has PTSD and it is difficult sometimes to have a meaningful relationship with him. ,College,I am in my senior year for a Bachelor's degree and it is stressful trying to keep up with four upper division science courses. ,I am thankful for the good days that he has.,I try to think about what I say before I say it to reduce tension in my relationship with my husband.,I try to remind myself that I only have (x) many weeks left until the semester is over and I graduate. 
money,CHILDREN,work,money,children,work,sort out finances,take time away from them,take pto
Wedding,I am getting married in December and it is a lot of work and very expensive,Future,I am unsure of my future and my potential career options,Finances,I don't make very much money and it is hard to keep up with the cost of living. ,I take medication for anxiety,I exercise somewhat frequently,I watch tv
Money,Lack of funds,Work,Stressful days/patients,Wedding planning,Not knowing where to start,Not think about it,Take a deep breath,Worry about one task at a time
Schoolwork,Schoolwork all coming in at once.,the future,thinking about the future and where I will be.,money,not having enough money to buy things. ,do things one at a time,have a plan,budget
Finances,Trying to support myself with my bills is difficult without a second job,Relationships,Family or significant others are a huge comfort but come with their own kind of stress.,Health,"My deteriorating health means more doctors appointments, which means less hours at work.",I do my best to stick with a budget.,I'm honest with my relationships.,I do what I can to control the things I can and accept the things I cant control.
Crowds,I get short of breath when i'm among a large group of people.,Airplanes,That feeling when it first takes off gives me the chills.,Being late,It throws my whole day off and makes me nervous.,I do most my shopping online.,I drive whenever possible.,I set my clocks 15 minutes ahead.
Getting into medical school,"It is a long, hard and expensive process that most people fail at.",Money,I don't have enough of it,Health,I feel anxious and bad when I don't exercise,Distract myself,Work side jobs,Make time to exercise
School,School work is difficult,Social,Maintaining friendships isn't always easy ,health,staying healthy is a concern,exercise,smoking weed,watching funny videos
Work,Working while taking classes to advance my skills in my field can be very stressful ,Addiction,I go in and out of a nicotine addiction that causes me a lot of stress,School,Classes are boring and seems redundant as I go through my classes,Get plenty of sleep and set reminders for work,Keep addictive the e-cig out of sight ,Plan some days out to prepare school work
Work,I work in a hostile work environment.,My weight,I stress about gaining weight.,Being too agreeable,"I have a hard time saying ""no"".",Exercise,Exercise,I isolate myself and don't have too many friends
starting a business,It has been very stressful starting a home based business.,finances,"Money is tight in the home, and I am responsible for budgeting which causes a lot of stress",toddler,My child is about to be 2 years old and raising her to be a Child of God can be stressful,I make sure to write everything out and plan how I will spend my time.,I double check the budget and make sure I account for unforeseen expenses.,I pray often and it helps to remind me of the importance of raising  my child the right way.
Work,I work with a lot of rude people so it could be very stressful ,Family ,I have alot of drama in my house ,Wife,Me and my wife are having issues ,Get a better job,Have more bonding time ,Go to sleep therapy 
money,"child support always being paid late, bills, ",my health,I have MS,my marriage,my husband and i fight some,yoga,meditation,exercise
Work,dealing with controversary ,going to store,to many people ,no money,don't have enough money to make it,take breaks if to much drama,don't go to stoere alone,buy only what is needed
Work.,Because work is never ending. ,Health.,Because you could die at anytime. ,Family. ,Because you worry about them. ,Getting good rest. ,Eating well. ,Taking time for oneself. 
Money,When finances are tight especially around Christmas.,Friendships,When there are disagreements and drama between friends.,Parenting,Making the right decisions for your kids and for their futures.,Try to Budget and earn extra money.,Try to keep to myself.,Research an read parenting articles.
Work,I have a boss who is very demanding and impossible to please.,My weight,"I've been eating out of control lately, and have gained about 25 pounds.",Money,I seem to always spend more than I make.,"I spoke to my boss about some of the issues, and he was genuinely eager to work on his behavior.","I have recently started the keto diet, which has resulted in weight loss and feeling better.",I'm going to pay off my credit card debt under a plan I formulated with a financial advisor.
when I am late.,I feel a bit stressed when I feel like i am going to be late for the meeting.,Deadline,Some times I face stress when there is a tight deadline for any projects which is of high importance.,Exam.,I face stress when there is an exam which I have not prepared for.,I try to breath in and out for some time and  imagine reaching in time for meeting. ,I plan my work so that I feel some confidence that I can complete the work in time.,I usually meditate in the morning for reducing my stress level.
Surprise reactions of growing children.,It is stressful because dealing with the change requires a lot of thinking.,Changing world around,The rising crime and the leadership change that affects lives equally,Risk of eating out,"It becomes necessary to eat out, but the risk is not tolerable.",Preparing every morning and loving children.,Be with the good and follow law and order,Eating home cooked food and relying on small homely bars
Finances,Not having enough money for bills,career,Not loving my work,relationship,More bad than good,Going to the gym,listening to music,talking to God
FINANCES,Don't have enough income to provide housing for ourselves.,JOB,We live in a very rural area without a lot of opportunity.,Marriage,We are basically roommates.,Try to find some type of work even if its basic minimum wage somewhere.,Commute even if it takes 1+ hours to get there.,Just have to deal with it.  It is what it is.
dating,"As a single male, with a good paying job its often stressful to find women that like me for me and not what i can give them",family,Lots of issues with the health of my older family members,weight,"As the holidays approach, im constantly worried about gaining too much weight ",Try to really get to know a woman prior to getting serious,"Try to keep up with medications and doctors appointments, so i can know if there are any major changes ",try to stick to a plan surrounding what i eat ths holiday season. 
procrastination,not starting on work load resulting in short time to complete many things,work load,huge amount of workload in short amount of time,shortage of money,Money is important for life,listen to music,exercise ,buy less stuff
Money,Worrying about how I will pay the bills sometimes,My children,Worrying about how I am raising them and if they're happy,My marriage,Fighting and drama causes stress,Go for a walk,Distract myself watching tv or a movie,Listen to music/unwind
finances,"I am low income. Paying bills is difficult, and sometimes impossible, for me.",My mother,My mother has Alzheimer's Disease and lives in a nursing facility. Most of her money goes to the facility. ,supernatural experiences,"I have had many supernatural experiences throughout my life, including a near death experience. ",I try to work as much as I can and also apply for numerous jobs. ,"I exercise, including walking, biking, swimming, and yoga.",I maintain my religious faith and attend church.
work,communicating and dealing with customers,relationship,getting over a breakup,family,grand parents health,i like to go run and workout,i like to play with my dog and go hiking,i like to pray 
My health,"Health issues, I have asthma and  I get stress when I cannot breath",Dad´s health,"My dad has bone cancer, for about 3 years",Work,I have to concentrate to much for many hours in a row and I get headaches,"I have notice that eating less reduces the asthma, It has improved in some degree",I give a lot of encouragement and talk to him everyday. That helps reduce stress,I play music and excesice everyday
Finances,HAving enough money to pay bills.,Work,Having the motivation to complete work tasks.,People,Interacting with people that I don't necessarely enjoy. ,Trying to relax and sleep a bit more.,Trying to distract my self from things that trigger stress.,Trying to focus on the right things to avoid stress.
Money,Having only one salary in our household everything is counted to the penny,Work,I work in healthcare,School,The need to get great scores,Make sure we stay on budget,Breathing exercises when necessary to release tension,Study a lot
